,RT_SubSet,Concert,Last_RT_created_at,tweet,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial,Hashtag,@BTS_twt
425,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:25:03+00:00,#SOWOOZOO Stay 🎶 https://t.co/ySbgCdZdke QT @comma_bts: 미친 전정국 STAY ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ https://t.co/KoTahDToy9,1404021994094350339,https://twitter.com/anyuser/status/1404021994094350339,1404021886078525440,en,0,2,24,19,268,3752,36,2,0,0,False,185,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
426,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:54:52+00:00,That was amazing. I miss them already though. Can't wait for tomorrow. Thank you as always for putting on an unforgettable performance 💜 #BTS8thAnniversary #BTSMusterSoWooZoo #SOWOOZOO #BTS @BTS_twt https://t.co/o7DNWVtgMo,1404044598935232520,https://twitter.com/anyuser/status/1404044598935232520,1404044310081900544,en,1060,1057,89570,231187,2529,26473,1168,1,1,0,False,238,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True
427,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:57:58+00:00,GOT SOME MCD #FESTA2021 #SOWOOZOO @BTS_twt https://t.co/7KqY84RPi6,1404015179050881033,https://twitter.com/anyuser/status/1404015179050881033,1404015126135533568,en,4010,778,30838,22089,778,30837,4010,1,1,0,False,83,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
428,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:59:42+00:00,"FIRE ! FIREEEEE !
#MUSTERSOWOOZOO @BTS_twt #SOWOOZOO #BTS #BTSARMY #방탄소년단 #JIN #JIMIN #JHOPE #JUNGKOOK #V #SUGA #TAEHYUNG #RM #NAMJOON #8YearsToInfinityWithBTS https://t.co/cyHbbDkZ6C",1404030711917514752,https://twitter.com/anyuser/status/1404030711917514752,1404028751835447296,en,0,29,480,1842,451,43732,120,1,1,0,False,200,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True
429,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:16:33+00:00,"オンライン癖になりそう。
途中、テテとグクのかけっこに
この2人は裏切らないな〜と💜
そして、2人とも足がはやっ💦

7人が幸せそうで良かった。
有難うバンタン💜
#BTSARMY
#SOWOOZOO 
#BTSMusterSoWooZoo",1404050055074443266,https://twitter.com/anyuser/status/1404050055074443266,1404044964833611776,ja,4,37,1570,2225,1824,3531,417,3,18,1,False,137,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
430,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:45:58+00:00,"OMG YESSS!!! BANG PD ON THE HOUSE!!!!

#BTS8thAnniversary #BTS #BTSMusterSoWooZoo #SOWOOZOO @BTS_twt https://t.co/waEBarX512",1404042358988046339,https://twitter.com/anyuser/status/1404042358988046339,1404025255560028160,en,488,552,4797,7014,552,4796,488,1,2,0,False,144,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
431,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:40:25+00:00,Kapit guys!!! #SOWOOZOO,1404010763199549442,https://twitter.com/anyuser/status/1404010763199549442,1404010103255175168,tl,13,259,5085,6059,1976,14134,2022,3,5,0,True,43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
432,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:23:02+00:00,"온콘도 다 같지 않지,
할거면 확실하게 끝짱 봐벌임..
아 진짜 너무 좋아, 너무 잘해, 너무 웃겨 ㅠ
너무 수고 많이했어 우리방탄 사랑해😭💜

#SOWOOZOO 
#BTS8thBirthday 
#8YearsToInfinityWithBTS 
#방탄_8주년_축하해 
#일곱의_겨울과_봄_뒤에_8주년 
#방탄소년단 
#BTS #BTSARMY   
@BTS_twt https://t.co/Q17waEzihs",1404051685228515328,https://twitter.com/anyuser/status/1404051685228515328,1404051530219540480,ko,5,49,9240,12095,71,10685,42,1,1,0,False,239,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
433,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:27:34+00:00,"WISHING ON A STAR Baju item 😭😭😭😭

#MUSTERSOWOOZOO #SOWOOZOO https://t.co/PrdX9XqKUY",1404037727415275523,https://twitter.com/anyuser/status/1404037727415275523,1404037384581177344,en,78,41,4658,7652,149,21870,297,1,6,0,False,106,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False
434,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:00:39+00:00,"@BTS_twt in #SOWOOZOO chat room 
 
💜 Apa yang sedang kalian lakukan ARMY!!!!!
Kalian sudah siap ?&gt;&gt;?
💜 smash!!!
💜 Jimin, gak kaya gitu ah
💜 make some noissseeeee
💜 cause i'm in the stars tonight ~ 

© haruharu_w_bts 
#BTS #방탄소년단 @BTS_twt
🐑
https://t.co/xOt86RSJLJ",1404015854329630722,https://twitter.com/anyuser/status/1404015854329630722,1404011107229093888,in,578,631,2688,4142,109,44422,33959,2,7,0,False,294,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True
435,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:02:20+00:00,"Maknae line be like : 
Et puis tu as jungkook..

#SOWOOZOO #MUSTERSOWOOZOO https://t.co/MsdxguGzmO",1404031376853110786,https://twitter.com/anyuser/status/1404031376853110786,1404031054659436544,et,129,649,163340,175733,275,486,112,1,3,0,False,113,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
436,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:12:39+00:00,Jungkook stans are you okay!! Cause he's not bias but I am not okay . Those shades and short sleeves are just f**king killing me💜🔥💜🔥 #JUNGKOOK #8yearswithBTS #2021BTSFESTA #8thYearsToInfinityWithBTS #SOWOOZOO https://t.co/03WtAKE5la,1404018875482656769,https://twitter.com/anyuser/status/1404018875482656769,1404018748537724928,en,56,157,2488,11074,93,1273,8,1,2,0,False,254,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
437,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:00:05+00:00,มาดูพ่ออันเดอร์คัท #SOWOOZOO  https://t.co/mjFFPASe65,1404015709009547264,https://twitter.com/anyuser/status/1404015709009547264,1404015058066186240,th,106,186,7073,7725,469,11155,1660,2,3,0,False,72,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
438,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:26:47+00:00,"วันนี้มีความสุขมากๆเลย ขอบคุณที่มาเติมกำลังใจให้กันนะ🥰💜
#SOWOOZOO #MUSTERSOWOOZOO
#방탄소년단 #BTS @BTS_twt 
https://t.co/B03S9FlCvN",1404052629139820550,https://twitter.com/anyuser/status/1404052629139820550,1404044344835801088,th,314,304,17414,587,216,439268,1225,3,4,0,False,149,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
439,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:00:11+00:00,"ENGGAK KERASA UDAHAN AJAA, MASII KANGENNNN😭😭

THANK YOU SO MUCH BANGTAN
WE LOVE YOU 🥺💜💜💜
#BTS #방탄소년단 #ThankYouBTS  #BTS8thAnniversary #2021BTSFESTA #MUSTERSOWOOZOO #SOWOOZOO #BTSARMY #WeLoveYouBangtan
@BTS_twt https://t.co/xZyBb64Koc",1404045933214461974,https://twitter.com/anyuser/status/1404045933214461974,1404044341132234752,in,622,562,5356,5750,562,5355,622,1,4,0,False,257,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True
440,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:09:11+00:00,"눈물나게 좋다.
물뿌리고 도망다니고 신나게 함께하는 탄이들. 그리고 함께한 아미들.
정말 얼마만에 느껴보는 분위기야😭😭
#SOWOOZOO
#방탄_8주년_축하해
#BTS8thAnniversary 
@BTS_twt",1404033098543603717,https://twitter.com/anyuser/status/1404033098543603717,1404032777540882432,ko,827,533,185041,96755,414,32314,883,1,1,0,False,135,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True
441,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:32:15+00:00,OMG ARMY TIME💜💜💜💜💜💜💜#2021FESTA #SOWOOZOO #BTS8thAnniversary #8YearsToInfinityWithBTS #BTS #BTSARMY #BTSMusterSoWooZoo @BTS_twt https://t.co/oMev69bqG2,1404008708204503043,https://twitter.com/anyuser/status/1404008708204503043,1404007753136316416,en,129,179,4291,8430,696,22182,598,1,3,0,False,172,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
442,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:32:00+00:00,"Therapist: 130621 Stay Jungkook can't hurt you.
130621 Stay Jungkook: 

Safe to say 8 years in this fandom and I'm SUFFERING 😭 

#BTS #SOWOOZOO https://t.co/7NuYhIDcu0",1404023744700596234,https://twitter.com/anyuser/status/1404023744700596234,1404020985347645440,en,498,884,12983,117389,1629,35728,1913,2,6,0,False,186,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
443,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:18:40+00:00,"ตอนนี้เต็มหมดทุกรอบแล้วนะคับถ้าคืนนี้เราเช็คแล้วมีหลุดเดี๋ยวลงในทวิตอีกทีนะคับ ขอบคุณมากๆนะคับ🙏🙏🙏

#หารของบังทัน #หารคอนBTS #8YearsToInfinityWithBTS #SOWOOZOO #8thYearsWithBTS #MUSTERSOWOOZOO #BTSMusterSoWooZoo #2021BTSFESTA https://t.co/NOQaHeJoKj",1404035486297956353,https://twitter.com/anyuser/status/1404035486297956353,1404033576702599168,th,5,71,2871,4414,589,9528,2351,3,0,1,False,265,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
