,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
30,Top200RTd,PTD_ON1,2021-10-24 12:57:05+00:00,1635080225000000000,https://twitter.com/anyuser/status/1452257842015186946,1452213329926103040,ko,480,1215,34604,28514,4,1212,3594187,13084,49540,654,False,94,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Top200RTd,PTD_ON1,2021-10-24 12:59:37+00:00,1635080377000000000,https://twitter.com/anyuser/status/1452258476244103170,1452246747355525120,en,148,4137,9212,28523,537,2419,266797,12752,27833,50,False,93,True,,,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
32,Top200RTd,PTD_ON1,2021-10-24 12:50:47+00:00,1635079847000000000,https://twitter.com/anyuser/status/1452256257130258433,1452221710644752384,ko,145,538,5161,17516,3,9557,2865241,12454,42925,2631,False,93,False,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Top200RTd,PTD_ON1,2021-10-24 12:56:33+00:00,1635080193000000000,https://twitter.com/anyuser/status/1452257707872989196,1452237756495798272,tl,71,305,4336,24522,336,30216,553793,12013,29734,78,False,74,True,,,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
34,Top200RTd,PTD_ON1,2021-10-24 12:57:51+00:00,1635080271000000000,https://twitter.com/anyuser/status/1452258031870304262,1452220932668497920,en,2205,902,150038,305866,22,15874,1243637,11675,31396,45,False,49,True,,,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
35,Top200RTd,PTD_ON1,2021-10-24 12:58:13+00:00,1635080293000000000,https://twitter.com/anyuser/status/1452258127596990464,1452218060866297856,in,114,664,53286,46136,49,15615,566601,11600,25558,30,False,62,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
36,Top200RTd,PTD_ON1,2021-10-24 12:41:01+00:00,1635079261000000000,https://twitter.com/anyuser/status/1452253799305912326,1452221452095270912,lv,27604,1452,54399,12542,295,133869,4513,11499,39537,147,False,56,True,,,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
37,Top200RTd,PTD_ON1,2021-10-24 12:46:25+00:00,1635079585000000000,https://twitter.com/anyuser/status/1452255154678517764,1452218272288583680,en,116,544,47330,125380,63,8907,177273,11388,33167,43,False,62,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
38,Top200RTd,PTD_ON1,2021-10-24 12:44:55+00:00,1635079495000000000,https://twitter.com/anyuser/status/1452254777736368131,1452217679096401920,en,282,1279,53203,29139,47,37908,193837,11232,24681,51,False,62,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
39,Top200RTd,PTD_ON1,2021-10-24 12:59:13+00:00,1635080353000000000,https://twitter.com/anyuser/status/1452258378558881797,1452219213616136192,und,3117,1702,69875,120194,117,59309,24360,11044,31027,57,False,39,True,,,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
