,created_at,id,user_id,user_followers_count,retweeted_status_id,retweeted_status_user_id,retweeted_status_retweet_count,retweeted_status_favorite_count,retweeted_status_reply_count,quoted_status_id,quoted_status_user_id,in_reply_to_status_id,in_reply_to_user_id,Original,RT,QT,Reply,Media,Length
60,2021-10-17 09:00:36+00:00,13051,8142,553,13250.0,15.0,8.0,7.0,0.0,,,,,0,1,0,0,1,209
61,2021-10-17 09:00:36+00:00,13052,246,5,399.0,1.0,5730.0,49310.0,58.0,,,,,0,1,0,0,1,127
62,2021-10-17 09:00:37+00:00,13053,1621,179,7.0,3.0,4259.0,7729.0,145.0,,,,,0,1,0,0,1,313
63,2021-10-17 09:00:38+00:00,13054,1499,655,18.0,5.0,282.0,973.0,5.0,,,,,0,1,0,0,1,197
64,2021-10-17 09:00:38+00:00,13055,840,1651,8.0,0.0,724.0,2059.0,12.0,,,,,0,1,0,0,1,162
65,2021-10-17 09:00:39+00:00,13056,107,1242,210.0,14.0,43666.0,118055.0,3964.0,,,,,0,1,0,0,1,200
66,2021-10-17 09:00:40+00:00,13057,2557,8,4.0,1.0,6293.0,41358.0,114.0,,,,,0,1,0,0,1,211
67,2021-10-17 09:00:40+00:00,13058,2472,36,13250.0,15.0,9.0,8.0,0.0,,,,,0,1,0,0,1,209
68,2021-10-17 09:00:40+00:00,13059,747,1423,4.0,1.0,6292.0,41379.0,114.0,,,,,0,1,0,0,1,211
69,2021-10-17 09:00:41+00:00,13046,7117,18,0.0,1.0,3377.0,21994.0,66.0,,,,,0,1,0,0,1,245
70,2021-10-17 09:00:42+00:00,13060,7777,141,12168.0,64.0,3205.0,9520.0,0.0,,,,,0,1,0,0,1,55
71,2021-10-17 09:00:43+00:00,13062,559,43,64.0,42.0,191.0,569.0,2.0,,,,,0,1,0,0,1,156
72,2021-10-17 09:00:44+00:00,13064,8750,194,49.0,4.0,106.0,80.0,0.0,,,,,0,1,0,0,1,178
73,2021-10-17 09:00:44+00:00,13063,1348,397,146.0,5.0,15.0,66.0,1.0,77.0,5.0,,,0,1,1,0,1,357
